date,country,product_type,revenue
2018-01-01,Sweden,Monitoring Cameras,1897
2018-01-01,Brazil,Fence,1064
2018-01-01,Zimbabwe,Sensoric Cables,1545
2018-01-01,Sweden,Sensoric Cables,1571
2018-01-01,United States of America,Fence,1851
2018-01-02,Spain,Fence,1784
2018-01-03,Brazil,Fence,1054
2018-01-03,Spain,Fence,1168
2018-01-03,Sweden,Fence,1728
2018-01-03,Germany,Monitoring Cameras,1274
2018-01-03,Sweden,Sensoric Cables,1711
2018-01-03,Brazil,Fence,1475
2018-01-03,Brazil,Sensoric Cables,1146
2018-01-03,Brazil,Sensoric Cables,1395
2018-01-03,United States of America,Monitoring Cameras,1142
2018-01-04,Sweden,Sensoric Cables,1424
2018-01-04,Germany,Fence,1140
2018-01-04,United States of America,Monitoring Cameras,1024
2018-01-04,Brazil,Fence,1593
2018-01-04,Spain,Fence,1039
2018-01-04,Spain,Sensoric Cables,1741
2018-01-05,Brazil,Sensoric Cables,1160
2018-01-05,Spain,Monitoring Cameras,1982
2018-01-05,Brazil,Sensoric Cables,1300
2018-01-05,Sweden,Monitoring Cameras,1238
2018-01-05,Brazil,Sensoric Cables,1493
2018-01-05,Zimbabwe,Fence,1614
2018-01-05,United States of America,Sensoric Cables,1611
2018-01-05,Spain,Fence,1339
2018-01-06,United States of America,Monitoring Cameras,1374
2018-01-06,Zimbabwe,Fence,1833
2018-01-06,Spain,Monitoring Cameras,1944
2018-01-06,United States of America,Sensoric Cables,1625
2018-01-06,Brazil,Monitoring Cameras,1854
2018-01-06,Brazil,Fence,1181
2018-01-07,Germany,Sensoric Cables,1723
2018-01-07,Sweden,Fence,1954
2018-01-07,Zimbabwe,Sensoric Cables,1618
2018-01-07,Brazil,Sensoric Cables,1221
2018-01-07,Spain,Monitoring Cameras,1943
2018-01-07,Sweden,Monitoring Cameras,1883
2018-01-07,United States of America,Monitoring Cameras,1382
2018-01-07,Zimbabwe,Fence,1606
2018-01-08,Brazil,Fence,1598
2018-01-08,Germany,Monitoring Cameras,1702
